country_zh,country_en,counts,area
阿尔巴尼亚,Albania,"1",3.05553000000
阿尔及利亚,Democratic People,"418",213.43600000000
阿富汗,Afghanistan,"3",62.51370000000
阿根廷,Argentina,"5763",278.25100000000
阿联酋,United Arab Emirates,"35",6.28690000000
阿曼,Sultanate of Oman,"95",26.70310000000
阿塞拜疆,Republic of Azerbaijan,"4",9.14419000000
埃及,Arab Republic of Egypt,"198",89.09290000000
埃塞俄比亚,Federal Democratic Republic of Ethiopia,"176",92.72350000000
爱尔兰,Ireland,"12",9.38355000000
安哥拉,Angola,"10544",103.81300000000
奥地利,Republic of Austria,"35",10.04080000000
澳大利亚,Commonwealth of Australia,"2953",695.55300000000
巴布亚新几内亚,Independent State of Papua New Guinea,"274",37.80280000000
巴哈马,Commonwealth of the Bahamas,"2",1.18614000000
巴基斯坦,Islamic Republic of Pakistan,"289",82.02740000000
巴拉圭,Republic of Paraguay,"733",35.26190000000
巴林,State of Bahrain,"2",0.06071930000
巴拿马,Republic of Panama,"2",6.16286000000
巴西,Federative Republic of Brazil,"29815",708.09400000000
白俄罗斯,Repubic of Belarus,"55",28.14360000000
保加利亚,Republic of Bulgaria,"8",12.24170000000
贝宁,Republic of Benin,"15",9.52128000000
比利时,Kingdom of Belgium,"85",3.89051000000
冰岛,Republic of Iceland,"33",19.49450000000
波兰,Republic of Poland,"85",40.94670000000
玻利维亚,Republic of Bolivia,"15334",92.05570000000
伯利兹,Belize,"6",1.88742000000
博茨瓦纳,Republic of Botswana,"2805",50.65750000000
布隆迪,Republic of Burundi,"26",2.19309000000
赤道几内亚,Republic of Equatorial Guinea,"4",2.19354000000
丹麦,Kingdom of Denmark,"13",6.39556000000
德国,Federal Republic of Germany,"274",45.87770000000
东帝汶,East Timor,"5",1.21410000000
多哥,Republic of Togo,"7",4.68552000000
多米尼加,Dominican Republic,"49",4.13176000000
俄罗斯联邦,Russian Federation,"3246",2924.99000000000
厄瓜多尔,Republic of Ecuador,"211",20.82700000000
法国,France Republic,"155",64.43070000000
法属圭亚那,French Guiana,"24",6.78097000000
菲律宾,Republic of Philippines,"4",24.59930000000
斐济,Republic of Fiji Islands,"8",1.55647000000
芬兰,Republic of Finland,"42",62.91290000000
刚果（布）,Republic of Congo,"208",27.77500000000
刚果(金),Democratic Republic of Congo,"6094",189.90200000000
哥伦比亚,Republic of Colombia,"712",92.80120000000
哥斯达黎加,Republic of Costa Rica,"3",4.22372000000
格鲁吉亚,Georgia,"7",7.60611000000
古巴,Republic of Cuba,"28",9.71463000000
圭亚那,Guyana,"90",17.12960000000
哈萨克斯坦,Republic of Kazakhstan,"311",329.49700000000
海地,Republic of Haiti,"6",2.32218000000
韩国,Republic of Korea,"3",9.95027000000
荷兰,Kingdom of the Netherlands,"35",4.60905000000
洪都拉斯,Republic of Honduras,"8",9.49114000000
吉布提,Republic of Djibouti,"1",1.79789000000
吉尔吉斯斯坦,Kyrgyz　Republic,"14",21.35340000000
加拿大,Canada,"1816",1688.35000000000
加纳,Republic of Ghana,"26",19.58910000000
加蓬,Gabonese Republic,"78",21.51300000000
捷克,Czech Republic,"7",9.84016000000
津巴布韦,Republic of Zimbabwe,"2043",33.53070000000
喀麦隆,Republic of Cameroon,"6",38.09930000000
卡塔尔,State of Qatar,"50",1.01887000000
科特迪瓦,Republic of Cote d’Ivoire,"8",26.38570000000
科威特,State of Kuwait,"21",1.60947000000
肯尼亚,Republic of Kenya,"193",47.33860000000
拉脱维亚,Republic of Latvia,"1",9.50343000000
老挝,Lao People,"2",19.68780000000
黎巴嫩,Lebanese Republic,"10",0.98794800000
里海,Caspian Sea,"37",40.37650000000
立陶宛,Republic of Lithuania,"3",9.19334000000
利比亚,Great Socialist People,"208",147.27900000000
卢森堡,Grand Duchy of Luxembourg,"6",0.32713500000
卢旺达,Republic of Rwanda,"17",2.04900000000
罗马尼亚,Romania,"48",27.56800000000
马达加斯加,Republic of Madagascar,"4528",50.95310000000
马拉维,Republic of Malawi,"1154",9.85078000000
马来西亚,Malaysia,"31",26.85270000000
马里,Republic of Mali,"6",106.59100000000
马提尼克,Martinique,"1",0.09583440000
毛里求斯,Republic of Mauritius,"2",0.17420500000
美国,United States Of America,"2298",1101.00000000000
蒙古,Mongolia,"20",184.72700000000
孟加拉国,People,"1",12.09870000000
秘鲁,Republic of Peru,"2102",106.55200000000
缅甸,Union of Myanmar,"41",58.15830000000
摩尔多瓦,Republic of Moldova,"3",4.04401000000
摩洛哥,Kingdom of Morocco,"20",38.75230000000
莫桑比克,Republic of Mozambique,"31745",66.95690000000
墨西哥,United States of Mexico,"315",174.16200000000
纳米比亚,Republic of Namibia,"774",72.26560000000
南非,Republic of South Africa,"2056",113.11800000000
南苏丹,Republic of the Sudan,"117",210.13100000000
尼加拉瓜,Republic of Nicaragua,"4",10.74440000000
尼日利亚,Federal Republic of Nigeria,"17",74.96480000000
挪威,Kingdom of Norway,"13",60.61080000000
葡萄牙,Portuguess Republic,"2711",9.56891000000
日本,Japan,"89",38.18180000000
瑞典,Kingdom of Sweden,"55",79.09440000000
瑞士,Switzerland,"4",4.86276000000
塞尔维亚,Republic of Serbia,"14",9.93474000000
塞拉利昂,Republic of Sierra Leone,"1",5.94042000000
塞内加尔,Republic of Senegal,"3",16.49020000000
沙特阿拉伯,Kingdom of Saudi Arabia,"196",174.25900000000
斯里兰卡,Democratic Socialist Republic of Sri Lan,"350",5.45289000000
斯洛伐克,Slovakia Republic,"35",5.99044000000
斯洛文尼亚,Republic of Slovenia,"1",2.40697000000
斯威士兰,Kingdom of Swaziland,"99",1.56624000000
苏丹,Republic of the Sudan,"67",210.13100000000
苏里南,Republic of Suriname,"78",11.90140000000
所罗门群岛,Solomon Islands,"15",2.35803000000
索马里,Somalia Republic,"32",51.82080000000
塔吉克斯坦,Republic of Tajikistan,"2",14.67270000000
泰国,Kingdom of Thailand,"9",43.37800000000
坦桑尼亚,United Republic of Tanzania,"6043",77.03830000000
特立尼达和多巴哥,Republic of Trinidad and Tobago,"2",0.42786500000
突尼斯,Republic of Tunisia,"10",15.17050000000
土耳其,Republic of Turkey,"263",81.32080000000
土库曼斯坦,Turkmenistan,"174",51.04720000000
瓦努阿图,Republic of Vanuatu,"5",1.03404000000
危地马拉,Republic of Guatemala,"20",9.21471000000
委内瑞拉,Republic of Venezuela,"601",74.76890000000
乌干达,Republic of Uganda,"247",19.61200000000
乌克兰,Ukraine,"1955",73.82140000000
乌拉圭,Oriental Republic of Uruguay,"46",17.15520000000
乌兹别克斯坦,Republic of Uzbekistan,"61",49.36530000000
西班牙,Kingdom of Spain,"115",52.87380000000
希腊,Hellenic Republic,"8",13.79880000000
新加坡,Republic of Singapore,"1",0.04827160000
新喀里多尼亚,New Caledonia,"85",1.64695000000
新西兰,New Zealand,"14",29.34160000000
匈牙利,Republic of Hungary,"6",11.04790000000
叙利亚,Syrian Arab Republic,"105",18.46730000000
牙买加,Jamaica,"8",0.94141800000
亚美尼亚,Republic of Armenia,"2",3.14464000000
也门,Republic of Yemen,"22",35.42890000000
伊拉克,Republic of Iraq,"778",42.22450000000
伊朗,Islamic Republic of Iran,"1084",155.97100000000
以色列,State of Israel,"10",2.56198000000
意大利,Italian Republic,"52",33.22290000000
印度,Republic of India,"740",272.38400000000
印度尼西亚,Republic of Indonesia,"2146",153.80700000000
英国,United Kingdom of Great Britain and Nort,"49",33.72710000000
约旦,Hashemite Kingdom of Jordan,"6",8.43489000000
越南,Socialist Republic of Viet Nam,"38",27.83450000000
赞比亚,Republic of Zambia,"9576",62.76490000000
乍得,Republic of Chad,"1",107.13500000000
智利,Republic of Chile,"18",78.81640000000
中非,Central African Republic,"9",50.73000000000
中国,Peoples Republic of China,"1256",962.10600000000
